Country,Continent,2022 Population
Afghanistan,Asia,41128771
Albania,Europe,2842321
Algeria,Africa,44903225
American Samoa,Oceania,44273
Andorra,Europe,79824
Angola,Africa,35588987
Anguilla,North America,15857
Antigua and Barbuda,North America,93763
Argentina,South America,45510318
Armenia,Asia,2780469
Aruba,North America,106445
Australia,Oceania,26177413
Austria,Europe,8939617
Azerbaijan,Asia,10358074
Bahamas,North America,409984
Bahrain,Asia,1472233
Bangladesh,Asia,171186372
Barbados,North America,281635
Belarus,Europe,9534954
Belgium,Europe,11655930
Belize,North America,405272
Benin,Africa,13352864
Bermuda,North America,64184
Bhutan,Asia,782455
Bolivia,South America,12224110
Bosnia and Herzegovina,Europe,3233526
Botswana,Africa,2630296
Brazil,South America,215313498
British Virgin Islands,North America,31305
Brunei,Asia,449002
Bulgaria,Europe,6781953
Burkina Faso,Africa,22673762
Burundi,Africa,12889576
Cambodia,Asia,16767842
Cameroon,Africa,27914536
Canada,North America,38454327
Cape Verde,Africa,593149
Cayman Islands,North America,68706
Central African Republic,Africa,5579144
Chad,Africa,17723315
Chile,South America,19603733
China,Asia,1425887337
Colombia,South America,51874024
Comoros,Africa,836774
Cook Islands,Oceania,17011
Costa Rica,North America,5180829
Croatia,Europe,4030358
Cuba,North America,11212191
Curacao,North America,191163
Cyprus,Europe,1251488
Czech Republic,Europe,10493986
Denmark,Europe,5882261
Djibouti,Africa,1120849
Dominica,North America,72737
Dominican Republic,North America,11228821
DR Congo,Africa,99010212
Ecuador,South America,18001000
Egypt,Africa,110990103
El Salvador,North America,6336392
Equatorial Guinea,Africa,1674908
Eritrea,Africa,3684032
Estonia,Europe,1326062
Eswatini,Africa,1201670
Ethiopia,Africa,123379924
Falkland Islands,South America,3780
Faroe Islands,Europe,53090
Fiji,Oceania,929766
Finland,Europe,5540745
France,Europe,64626628
French Guiana,South America,304557
French Polynesia,Oceania,306279
Gabon,Africa,2388992
Gambia,Africa,2705992
Georgia,Asia,3744385
Germany,Europe,83369843
Ghana,Africa,33475870
Gibraltar,Europe,32649
Greece,Europe,10384971
Greenland,North America,56466
Grenada,North America,125438
Guadeloupe,North America,395752
Guam,Oceania,171774
Guatemala,North America,17843908
Guernsey,Europe,63301
Guinea,Africa,13859341
Guinea-Bissau,Africa,2105566
Guyana,South America,808726
Haiti,North America,11584996
Honduras,North America,10432860
Hong Kong,Asia,7488865
Hungary,Europe,9967308
Iceland,Europe,372899
India,Asia,1417173173
